Provincia,Año,Autopista,Avenida,Calle,Carretera,Elevado,Tunel,Puente,Autovía,Bulevar,Cruce,Camino vecinal,Otras,No daclarada
Hato Mayor,2021,0,0,83,150,0,0,0,0,0,0,0,0,1
San José de Ocoa,2021,0,11,139,6,0,0,0,0,0,0,0,0,0
Santo Domingo,2021,852,1472,892,454,11,1,17,10,2,0,0,12,86
No declarada,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Distrito Nacional,2022,130,"2,821","1,334",41,4,1,41,1,0,0,1,12,8
Azua,2022,0,8,60,186,0,0,2,0,0,0,0,0,5
Baoruco,2022,0,5,31,48,0,0,0,0,0,0,0,0,8
Barahona,2022,0,32,41,98,0,0,2,0,0,0,0,0,4
Dajabón,2022,0,3,107,10,0,0,0,0,0,0,1,0,10
Duarte,2022,2,148,156,89,0,0,0,0,0,0,0,0,7
Elías Piña,2022,0,1,93,48,0,0,3,0,0,0,0,0,13
El Seibo,2022,0,27,19,86,0,0,0,0,0,0,0,0,10
Espaillat,2022,41,43,133,162,0,0,0,0,0,0,0,0,8
Independencia,2022,0,1,15,30,0,0,1,0,0,0,0,0,3
La Altagracia,2022,51,191,113,182,0,0,0,28,25,2,0,0,17
La Romana,2022,16,67,87,48,0,0,0,17,0,0,0,0,11
La Vega,2022,174,185,377,175,0,0,4,0,0,0,0,0,12
María Trinidad Sánchez,2022,2,16,57,122,0,0,0,0,0,0,0,0,21
Monte Cristi,2022,1,18,93,57,0,0,0,0,0,0,0,0,24
Pedernales,2022,0,0,38,39,0,0,0,0,0,0,0,0,1
Peravia,2022,0,1,40,153,0,0,0,0,0,0,0,0,0
Puerto Plata,2022,0,274,369,499,0,0,1,2,0,0,4,1,29
Hermanas Mirabal,2022,0,4,41,41,0,0,0,0,0,0,0,1,0
Samaná,2022,4,12,99,134,0,0,0,0,1,0,0,0,28
San Cristóbal,2022,221,90,281,291,0,0,0,0,0,3,0,1,15
San Juan,2022,0,7,72,96,0,0,1,0,0,0,0,0,7
San Pedro de Macorís,2022,8,200,160,117,1,0,0,158,37,1,1,1,32
Sánchez Ramírez,2022,0,3,75,42,0,0,0,0,0,1,0,2,2
Santiago,2022,252,943,550,411,0,0,1,1,0,2,7,1,16
Santiago Rodríguez,2022,1,0,13,24,0,0,0,0,0,0,0,0,4
Valverde,2022,12,8,100,61,0,0,0,0,0,1,0,0,11
Monseñor Nouel,2022,246,26,97,40,0,0,0,5,0,0,0,0,14
Monte Plata,2022,35,2,72,104,0,0,0,2,0,0,0,0,12
Hato Mayor,2022,1,0,55,95,0,0,0,0,0,0,1,0,9
San José de Ocoa,2022,0,2,74,6,0,0,0,0,0,0,0,0,8
Santo Domingo,2022,590,"1,220",724,420,0,8,31,25,0,1,0,12,32
No declarada,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
Distrito Nacional,2023,91,"2,826","1,231",33,13,3,49,1,0,0,0,7,0
Azua,2023,0,16,91,168,0,0,0,0,0,0,0,0,0
Baoruco,2023,0,1,58,49,0,0,0,0,0,0,0,2,2
Barahona,2023,0,18,33,61,0,0,0,0,0,0,0,2,0
Dajabón,2023,0,0,98,4,0,0,0,0,0,0,0,0,0
Duarte,2023,4,17,56,116,0,0,0,0,0,0,0,0,0
Elías Piña,2023,0,0,101,82,0,0,0,0,0,0,0,0,0
El Seibo,2023,0,21,26,145,0,0,0,0,0,0,0,0,3
Espaillat,2023,27,8,106,35,0,0,0,0,0,0,0,0,0
Independencia,2023,0,0,5,35,0,0,0,0,0,0,0,0,0
La Altagracia,2023,71,349,300,273,0,0,0,6,14,0,0,3,3
La Romana,2023,15,179,126,63,0,0,1,26,0,0,1,0,4
La Vega,2023,153,63,225,103,0,0,0,0,0,0,0,0,0
María Trinidad Sánchez,2023,3,10,82,113,0,0,0,0,0,0,0,0,6
Monte Cristi,2023,2,2,131,24,0,0,0,0,0,0,0,0,7
Pedernales,2023,0,0,16,22,0,0,0,0,0,0,0,0,0
Peravia,2023,0,19,84,165,0,0,0,0,0,0,0,0,0
Puerto Plata,2023,0,284,324,487,0,0,0,0,0,0,0,0,8
Hermanas Mirabal,2023,0,3,84,26,0,0,0,0,0,0,0,1,0
Samaná,2023,0,9,70,145,0,0,0,0,0,0,0,4,0
San Cristóbal,2023,274,98,239,434,0,0,0,0,0,0,0,0,3
San Juan,2023,0,10,59,107,0,0,0,0,0,0,0,0,1
San Pedro de Macorís,2023,1,170,197,113,0,0,0,171,26,0,0,4,2
Sánchez Ramírez,2023,0,4,72,60,0,0,0,0,0,0,0,0,0
Santiago,2023,288,705,326,293,0,0,0,0,0,0,1,0,2
Santiago Rodríguez,2023,2,3,10,32,0,0,0,0,0,0,0,0,0
Valverde,2023,55,35,108,129,0,0,0,0,0,0,1,0,0
Monseñor Nouel,2023,268,28,164,50,0,0,0,0,0,0,0,0,1
Monte Plata,2023,43,3,130,98,0,0,0,0,0,0,0,0,0
Hato Mayor,2023,0,0,53,141,0,0,0,0,0,0,0,0,0
San José de Ocoa,2023,0,8,109,61,0,0,0,0,0,0,0,0,0
Santo Domingo,2023,536,"1,157",636,437,7,2,22,5,0,0,4,3,9
No declarada,2023,0,0,0,0,0,0,0,0,0,0,0,0,0
Distrito Nacional,2024,140,"3,220","1,281",52,13,5,48,0,0,0,0,7,2
Azua,2024,0,10,23,135,0,0,0,0,0,0,0,0,0
Baoruco,2024,0,0,94,72,0,0,0,0,0,0,2,0,1
Barahona,2024,0,21,11,62,0,0,0,0,0,0,0,0,0
Dajabón,2024,0,3,48,7,0,0,0,0,0,0,0,0,3
Duarte,2024,1,57,71,51,0,0,1,0,0,0,0,0,0
Elías Piña,2024,0,0,67,49,0,0,0,0,0,0,0,0,0
El Seibo,2024,0,34,60,193,0,0,1,0,0,0,0,0,2
Espaillat,2024,22,12,51,59,0,0,0,0,0,0,1,0,0
Independencia,2024,0,0,7,5,0,0,0,0,0,0,0,0,0
La Altagracia,2024,41,375,256,321,0,0,0,53,1,0,0,0,1
La Romana,2024,4,74,58,26,0,0,0,94,0,0,0,0,0
La Vega,2024,127,48,190,66,0,0,0,0,0,0,0,0,0
María Trinidad Sánchez,2024,22,14,63,111,0,0,0,0,0,0,0,0,1
Monte Cristi,2024,4,6,70,13,0,0,0,0,0,0,0,0,1
Pedernales,2024,1,2,45,22,0,0,0,0,0,0,0,0,0
Peravia,2024,1,27,110,297,0,0,0,0,0,0,0,0,0
Puerto Plata,2024,2,234,463,457,0,0,0,0,0,0,0,0,2
Hermanas Mirabal,2024,0,2,61,65,0,0,0,0,0,0,0,0,0
Samaná,2024,0,26,82,170,0,0,0,0,0,0,0,0,0
San Cristóbal,2024,499,150,380,619,0,0,0,0,0,0,0,0,3
San Juan,2024,0,12,118,174,0,0,0,0,0,0,0,0,3
San Pedro de Macorís,2024,2,243,353,161,0,0,0,257,25,0,0,1,3
Sánchez Ramírez,2024,0,7,91,31,0,0,0,0,0,0,0,0,0
Santiago,2024,264,612,324,297,1,0,0,3,0,0,3,1,1
Santiago Rodríguez,2024,0,4,21,50,0,0,0,0,0,0,0,0,0
Valverde,2024,42,33,76,115,0,0,0,0,0,0,0,0,0
Monseñor Nouel,2024,175,6,52,35,2,0,0,0,0,0,0,0,0
Monte Plata,2024,143,4,84,192,0,0,0,6,0,0,0,0,0
Hato Mayor,2024,0,3,92,192,0,0,0,0,0,0,0,0,1
San José de Ocoa,2024,0,17,149,69,0,0,0,0,0,0,0,0,0
Santo Domingo,2024,735,"1,262",654,386,6,1,14,20,0,0,0,5,7
No declarada,2024,0,0,0,0,0,0,0,0,0,0,0,0,0
