Ano,Mes,Sexo,Cantidad_lesionados
2021,Abril,Mujeres,253
2021,Mayo,Mujeres,225
2021,Junio,Mujeres,243
2021,Julio,Mujeres,211
2021,Agosto,Mujeres,277
2021,Septiembre,Mujeres,272
2021,Octubre,Mujeres,255
2021,Noviembre,Mujeres,257
2021,Diciembre,Mujeres,312
2022,Enero ,Hombres,"1,172"
2022,Febrero ,Hombres,"1,242"
2022,Marzo,Hombres,"1,256"
2022,Abril,Hombres,"1,310"
2022,Mayo,Hombres,"1,298"
2022,Junio,Hombres,"1,147"
2022,Julio,Hombres,"1,262"
2022,Agosto,Hombres,"1,193"
2022,Septiembre,Hombres,"1,071"
2022,Octubre,Hombres,"1,240"
2022,Noviembre,Hombres,"1,014"
2022,Diciembre,Hombres,"1,313"
2022,Enero ,Mujeres,281
2022,Febrero ,Mujeres,320
2022,Marzo,Mujeres,251
2022,Abril,Mujeres,356
2022,Mayo,Mujeres,302
2022,Junio,Mujeres,278
2022,Julio,Mujeres,256
2022,Agosto,Mujeres,234
2022,Septiembre,Mujeres,201
2022,Octubre,Mujeres,299
2022,Noviembre,Mujeres,202
2022,Diciembre,Mujeres,266
2023,Enero ,Hombres,"1,164"
2023,Febrero ,Hombres,"1,047"
2023,Marzo,Hombres,"1,073"
2023,Abril,Hombres,"1,206"
2023,Mayo,Hombres,"1,087"
2023,Junio,Hombres,"1,145"
2023,Julio,Hombres,"1,291"
2023,Agosto,Hombres,"1,179"
2023,Septiembre,Hombres,"1,176"
2023,Octubre,Hombres,"1,178"
2023,Noviembre,Hombres,972
2023,Diciembre,Hombres,"1,448"
2023,Enero ,Mujeres,284
2023,Febrero ,Mujeres,264
2023,Marzo,Mujeres,252
2023,Abril,Mujeres,252
2023,Mayo,Mujeres,267
2023,Junio,Mujeres,272
2023,Julio,Mujeres,306
2023,Agosto,Mujeres,303
2023,Septiembre,Mujeres,256
2023,Octubre,Mujeres,272
2023,Noviembre,Mujeres,253
2023,Diciembre,Mujeres,329
2024,Enero ,Hombres,"1,436"
2024,Febrero ,Hombres,"1,287"
2024,Marzo,Hombres,"1,353"
2024,Abril,Hombres,"1,222"
2024,Mayo,Hombres,"1,195"
2024,Junio,Hombres,"1,199"
2024,Julio,Hombres,"1,039"
2024,Agosto,Hombres,"1,294"
2024,Septiembre,Hombres,"1,167"
2024,Octubre,Hombres,"1,141"
2024,Noviembre,Hombres,"1,098"
2024,Diciembre,Hombres,"1,358"
2024,Enero ,Mujeres,318
2024,Febrero ,Mujeres,309
2024,Marzo,Mujeres,333
2024,Abril,Mujeres,309
2024,Mayo,Mujeres,302
2024,Junio,Mujeres,283
2024,Julio,Mujeres,285
2024,Agosto,Mujeres,348
2024,Septiembre,Mujeres,327
2024,Octubre,Mujeres,334
2024,Noviembre,Mujeres,304
2024,Diciembre,Mujeres,387
