Ano,Region ,Hombre,Mujer
2014,Duarte,57,7
2014,María Trinidad Sánchez,50,8
2014,Hermanas Mirabal,31,2
2014,Samaná,32,2
2014,Región Cibao Noroeste,108,10
2014,Dajabón,21,0
2014,Monte Cristi,36,3
2014,Santiago Rodríguez,11,2
2014,Valverde,40,5
2014,Región Valdesia,168,24
2014,Peravia,42,5
2014,San Cristóbal,115,17
2014,San José de Ocoa,11,2
2014,Región Enriquillo,72,7
2014,Baoruco,18,3
2014,Barahona,36,3
2014,Independencia,9,1
2014,Pedernales,9,0
2014,Región El Valle,99,19
2014,Azua,43,10
2014,Elías Piña,4,1
2014,San Juan,52,8
2014,Región Yuma,141,23
2014,El Seibo,18,1
2014,La Altagracia,94,16
2014,La Romana,29,6
2014,Región Higuamo,85,21
2014,San Pedro de Macorís,54,13
2014,Monte Plata,16,5
2014,Hato Mayor,15,3
2014,No declarado ,0,0
2015,Región Ozama,261,38
2015,Distrito Nacional,56,8
2015,Santo Domingo,205,30
2015,Región Cibao Norte,309,40
2015,Espaillat,79,7
2015,Puerto Plata,82,17
2015,Santiago,148,16
2015,Región Cibao Sur,223,30
2015,La Vega,131,15
2015,Sánchez Ramírez,33,5
2015,Monseñor Nouel,59,10
2015,Región Cibao Nordeste,197,21
2015,Duarte,95,9
2015,María Trinidad Sánchez,38,3
2015,Hermanas Mirabal,39,5
2015,Samaná,25,4
2015,Región Cibao Noroeste,110,22
2015,Dajabón,25,6
2015,Monte Cristi,25,1
2015,Santiago Rodríguez,14,1
2015,Valverde,46,14
2015,Región Valdesia,136,16
2015,Peravia,41,4
2015,San Cristóbal,87,11
2015,San José de Ocoa,8,1
2015,Región Enriquillo,70,13
2015,Baoruco,23,7
2015,Barahona,33,4
2015,Independencia,12,1
2015,Pedernales,2,1
2015,Región El Valle,121,16
2015,Azua,53,8
2015,Elías Piña,1,0
2015,San Juan,67,8
2015,Región Yuma,168,22
2015,El Seibo,18,1
2015,La Altagracia,107,18
2015,La Romana,43,3
2015,Región Higuamo,108,25
2015,San Pedro de Macorís,62,8
2015,Monte Plata,31,13
2015,Hato Mayor,15,4
2015,No declarado ,0,0
2016,Región Ozama,288,34
2016,Distrito Nacional,60,8
2016,Santo Domingo,228,26
2016,Región Cibao Norte,281,29
2016,Espaillat,68,7
2016,Puerto Plata,79,9
2016,Santiago,134,13
2016,Región Cibao Sur,229,26
2016,La Vega,137,16
2016,Sánchez Ramírez,43,5
2016,Monseñor Nouel,49,5
2016,Región Cibao Nordeste,199,34
2016,Duarte,102,14
2016,María Trinidad Sánchez,46,6
2016,Hermanas Mirabal,17,1
2016,Samaná,34,13
2016,Región Cibao Noroeste,118,8
2016,Dajabón,27,1
2016,Monte Cristi,36,3
2016,Santiago Rodríguez,5,2
2016,Valverde,50,2
2016,Región Valdesia,177,35
2016,Peravia,66,14
2016,San Cristóbal,102,19
2016,San José de Ocoa,9,2
2016,Región Enriquillo,63,9
2016,Baoruco,20,1
2016,Barahona,28,6
2016,Independencia,9,2
2016,Pedernales,6,0
2016,Región El Valle,119,6
2016,Azua,60,4
2016,Elías Piña,7,0
2016,San Juan,52,2
2016,Región Yuma,178,21
2016,El Seibo,19,0
2016,La Altagracia,114,13
2016,La Romana,45,8
2016,Región Higuamo,120,17
2016,San Pedro de Macorís,60,11
2016,Monte Plata,41,4
2016,Hato Mayor,19,2
2016,No declarado ,0,0
2017,Región Ozama,237,34
2017,Distrito Nacional,51,10
2017,Santo Domingo,186,24
2017,Región Cibao Norte,200,36
2017,Espaillat,52,9
2017,Puerto Plata,48,9
2017,Santiago,100,18
2017,Región Cibao Sur,206,12
2017,La Vega,114,8
2017,Sánchez Ramírez,27,0
2017,Monseñor Nouel,65,4
2017,Región Cibao Nordeste,169,19
2017,Duarte,67,7
2017,María Trinidad Sánchez,36,3
2017,Hermanas Mirabal,34,6
2017,Samaná,32,3
2017,Región Cibao Noroeste,66,4
2017,Dajabón,4,1
2017,Monte Cristi,22,2
2017,Santiago Rodríguez,6,0
2017,Valverde,34,1
2017,Región Valdesia,158,21
2017,Peravia,40,10
2017,San Cristóbal,105,10
